"","Quantile","Effect Modifier","Median CATE","Mean CATE","Lower 95% CI","Upper 95% CI"
"1",100,"education_none_1:mass_media_1",0.047,0.047,0.043,0.052
"2",100,"education_none_1:rural_residence_1",0.04,0.04,0.036,0.044
"3",100,"education_none",0.033,0.033,0.029,0.037
"4",50,"education_none_1:mass_media_1",0.03,0.031,0.026,0.035
"5",0,"education_none_0:mass_media_0",0.028,0.029,0.024,0.034
"6",100,"education_none_1:mass_media_0",0.028,0.027,0.024,0.032
"7",0,"mass_media_1:education_none_0",0.024,0.024,0.019,0.028
"8",50,"education_none_1:mass_media_0",0.024,0.023,0.019,0.028
"9",100,"mass_media_1:rural_residence_1",0.023,0.023,0.019,0.028
"10",0,"rural_residence_1:education_none_0",0.023,0.023,0.018,0.027
"11",0,"mass_media_0:rural_residence_0",0.022,0.022,0.017,0.027
"12",100,"rural_residence",0.021,0.021,0.015,0.025
"13",50,"mass_media_1:rural_residence_1",0.019,0.019,0.015,0.023
"14",0,"education_none_0:rural_residence_0",0.019,0.019,0.014,0.023
"15",50,"education_none_1:rural_residence_1",0.019,0.018,0.014,0.022
"16",100,"mass_media_0:rural_residence_0",-0.018,-0.018,-0.022,-0.015
"17",0,"education_none_1:rural_residence_0",0.016,0.016,0.012,0.021
"18",50,"mass_media_1:education_none_0",0.016,0.016,0.012,0.02
"19",50,"education_none",0.014,0.014,0.01,0.018
"20",0,"mass_media_1:rural_residence_1",0.014,0.014,0.01,0.019
"21",100,"education_none_0:mass_media_0",-0.014,-0.014,-0.018,-0.009
"22",0,"education_none_1:mass_media_1",0.014,0.014,0.009,0.018
"23",50,"rural_residence",0.01,0.01,0.005,0.013
"24",0,"education_none_1:mass_media_0",0.01,0.01,0.005,0.014
"25",50,"rural_residence_1:education_none_0",0.009,0.009,0.005,0.013
"26",50,"education_none_1:rural_residence_0",0.008,0.008,0.004,0.013
"27",50,"education_none_0:mass_media_0",0.008,0.008,0.004,0.012
"28",100,"rural_residence_1:education_none_0",-0.008,-0.008,-0.013,-0.004
"29",50,"education_none_0:rural_residence_0",0.007,0.007,0.004,0.011
"30",0,"education_none",-0.006,-0.006,-0.011,-0.003
"31",0,"education_none_1:rural_residence_1",-0.005,-0.005,-0.011,-0.001
"32",100,"education_none_0:rural_residence_0",-0.004,-0.004,-0.008,-0.001
"33",0,"rural_residence",-0.002,-0.002,-0.007,0.001
"34",100,"education_none_1:rural_residence_0",0.001,0.001,-0.002,0.005
"35",100,"mass_media_1:education_none_0",0,0,-0.004,0.005
"36",50,"mass_media_0:rural_residence_0",0,0,-0.003,0.004
