"","Effect Modifier","Coefficient Estimate"
"1","education_none_1:rural_residence_1",0.00045
"2","mass_media_0:rural_residence_0",-0.00041
"3","education_none",4e-04
"4","education_none_0:mass_media_0",-0.00039
"5","education_none_1:mass_media_1",0.00035
"6","rural_residence_1:education_none_0",-0.00032
"7","education_none_0:rural_residence_0",-0.00024
"8","mass_media_1:education_none_0",-0.00024
"9","rural_residence",0.00022
"10","education_none_1:mass_media_0",0.00016
"11","mass_media_1:rural_residence_1",1e-04
